text,labels
"DOG - A CREATURE FOR THE LONELY? <p/> Living with an animal is good for the body and soul. Children who are lucky enough to grow up around animals develop more feeling (empathy) for others, the ability to accept the differences between living things, their communication is fuller (it is easier for them to perceive correctly something besides words). They also have fewer allergies and express their emotions more easily. <p/> The above is said in an uiber simple way, in a homey way, a la Nina (jest). But it is an officially recognised fact that. So I did not make it up. <p/> I can tell you from my own experience in therapy with a dog (I don't have many, but I have a few) that children really do sometimes - when they have problems with this - open up more easily to a dog than to a human. Why? Because the dog does not judge. For him you are great when you are sad and when you are happy. It doesn't take your sadness or disappointment as an attack on its personality. So it accepts who you are. And it tries to improve your mood. Even when he is the cause of your disappointment, he doesn't take it out on his own resentment or hurt, but approaches it in a constructive way, trying to make amends in any way he can. It's funny for me to think like that... Funny that a higher evolved being, i.e. a human being, has to learn this extra many times, but a dog is just given it. So, on that point, I say calmly (and I don't mind if someone jumps in the loft about it)... Well, I will say that in some cases, at this point, the dog is more advanced than the human in terms of social skills. In some cases. I just find insensitivity to another's pain an extremely frightening trait. <p/> I have often heard the statement: lonely people have dogs. I always come to two conclusions from this statement, whether it is written or spoken and in what context: <p/> it reflects a person who thinks that he is an extra good soul just because he sometimes gets involved with someone. He does not know that this is not dictated by his character, but by the fact that he is born a social being. There are many ways to be involved with anyone. Roughly in 2 ways: bad or good. If I (magari with the help of animals) had conquered the good, I would know that this statement dilutes by negativity something that does not even need a negative connotation. If you like flowers, you like flowers, if you like animals, you like animals. If you like them, they are not superfluous. Just as simple as that. There is no need for pejorative approaches and words that can only bring pain when a person is belittled and nothing else. To me, that is hypocritical. A lack of understanding of acceptance of other living beings, garnished with the cellophane of (supposedly) trying to understand. A person with feeling for others would not express it that way. He would have benefited from the example of canine companionship. But I am glad he does not. Because it's not the dog's fault. He is not a doormat, he is a living being. <p/> Of course, a dog is a wonderful companion. Among other things because, as I said above, he knows how to coexist. Calm souls show emotions and moods in a relaxed way. We humans are not always and everywhere good at that. When we grow up, we are... well, less uninhibitedly genuine. He is also a wonderful listener and as a rule does not give away secrets. Intermezzo: those who know their animals, or animals in general, well know that they also tell some secrets. Just not, as a rule, in such an extreme way as the currently still famous bullmastiffs. Such expressions are maddeningly rare, because very few animals are so totally nerved - destroyed. I, for example, years ago, denounced my landlord for charging around the flat when I was not at home because of animals. Because I know my animals. In a humiliated confession, he then asked me - how did you know, since I hadn't moved anything? But there is no substitute for human closeness. That goes both ways, of course. No human being can replace a dog's closeness either. And the fact is that the dog as a companion really helps the desperate... because it gets them out, with people! ! ! Not because it replaces them. Because it cheers them up and brings them back to sociability. All this, of course, does not mean that all dog owners are the same. Hello? Are all parents the same? All rugby players? All at the same school? The important thing to say here is that the overly desperate don't snog the dog anyway. Fact. And that like-minded people walking their dogs is no worse than like-minded people playing volleyball.",Opinion/Argumentation
"Partition walls <p/> It often happens that when building a new residential building, we overlook a flaw in the construction plan or a wall cannot be built as planned. In such cases, partition walls can be the solution. They are also often used in commercial premises to enclose individual employees and give them a little privacy in their own little ""office"". They are a quick and inexpensive solution. They achieve good acoustic and thermal performance. <p/> Partition walls are constructed with a substructure, which can be wood or metal, on which plasterboard panels are installed. There are a large number of plasterboard suppliers that also offer water-resistant plasterboards. Such panels are used for bathrooms and other wet areas. For better strength, the wall should be covered with one to three layers of plasterboard. Stone wool is inserted into the substructure to provide better insulation. All plumbing and electrical installations can also be installed in the partition walls without being visible from the outside. Installing a partition is a completely dry job, which can be done even when the building is occupied. We can also install in partition walls anything we install in normal brickwork. So, with the right substructure, doors, cabinets, speakers and lights can also be built into the partition.",Promotion
"The 9th International Golf Tournament is held in Izola. The Slovenian national team finished 5th, the title going to Spain. Our team was stopped by Turkey on its way to the semi-finals. Let us also mention that yesterday the Slovenian national team was visited by a TV Slovenia team. <p/> ""We played very well on the first day. We won two games and lost two after an exciting playoff. We finished 3rd in our group and went on to play Turkey in the knockout round. On the second day of play, our game was not at the same level as on the first day. Against Turkey we made too many mistakes in defence and lost the match,"" says Ivan Vinkler about the performance of the national team in Izola. ""We were facing the teams that are going to the World Championship next month. All the players got a chance to play. The two youngest players (Višnikar and Koščak) got a lot of chances. They made great use of it until the last match. Especially in the playoffs they made too many mistakes and made the game more interesting. The goal was not achieved, but I am satisfied with 5th place,"" concluded Vinkler.",News
"Frames for your posters <p/> There are a few things to keep in mind when ordering poster frames. We also need to consider where the frames and posters will be placed. If it is a marketing poster that will be installed outside, you need to be aware that it will be exposed to the weather. It is wise in this case to purchase waterproof frames so that the first storm does not destroy the posters, because in this case our efforts would be for nothing. The easiest way to find quality poster frames is online, as there are many quality manufacturers (3d art). Of course, it is always best to choose one where you can see at first glance a good price/quality ratio. Frames also differ in a few other ways, mainly in terms of where they will be hung. So you can choose from shop window frames, wall frames, hanging frames and, wouldn't you believe it, car frames. In fact, larger vehicles can be fitted with frames designed for marketing posters. Not only are frames made in traditional sizes, but you can also adjust the size of the frames to suit your needs and your poster format. Nowadays, it is well known that designers love to be creative and for creative posters you will also need creative frames. It is for the latter that some companies specialising in the production of marketing accessories will be able to help you and provide you with what you expect at the best prices. You should also consider that the frames will be functional and that you will be able to easily change the posters on display.",Instruction
"They are afraid of hunger <p/> One hundred teams, 30 European cities, 24 cans of red bull and three girls from Slovenia. <p/> ""I'm afraid of being hungry, but also of bad weather, because our tent is of a lower quality,"" says 20-year-old Lara, who, together with her friends Maja, 22, and Ana, 20, will try out Red Bull's Can you make it? (Can you do it? ). <p/> At least six cities in seven days <p/> "" <p/> We wanted something Slovenian. One came up with the idea of Kekec. It may sound funny, but Kekec is also someone who gets himself into trouble, which he eventually gets himself out of. <p/> Lara on choosing a name. "" <p/> One hundred teams from all over the world will set off at the same time on 4 April on a journey that only the bravest and most resourceful will complete. Over seven days, the teams, including two from Slovenia, will have to visit at least six European cities on a budget. All participants will find out which cities they can visit just before the start of the campaign, when the organiser will give them a list of the places they are allowed to visit, and they will finish their adventure in Berlin, where they must arrive by 17:00 on 11 April. <p/> "" We rely on our charm "" <p/> In addition to money and payment cards, competitors will also have to leave their electronic devices at home. Red Bull will give them a mobile phone before the start, an envelope with funds to be used only as a last resort, and a unique means of payment - 24 cans of energy drink - which they will need to cover the cost of food, transport and accommodation, with additional cans to be earned by completing challenges."" We rely on our charisma and charm,"" says Lara with a laugh, while pointing out that they will also grab a shovel or a broom if necessary. They have no intention of tapping into Red Bull's ""reserve fund"" and would only throw a gun in the corn if something happened to someone along the way. <p/> It's easier with just a Lassie <p/> Teams start simultaneously from four cities - London, Vienna, Milan and Paris. Team Kekec will set off from Milan. <p/> The team with the most points along the way wins. You can help the Kekec group, as the girls call themselves, by liking their page (you can find it here). Each new supporter will earn them ten points, which is equivalent to ten kilometres travelled. <p/> Winners will receive a trip of their choice to the country where the Red Bull event will be held, staying in a minimum four-star hotel. Maja, Ana and Lara stress that they did not take on the challenge for the money, but ""because they don't miss any opportunity to travel"". Asked whether it would be easier to travel around Europe with beer cans, Lara says: "" Yes, if it was cheap. """,News
"Pilates ball - 55 cm - red <p/> regular price <p/> 19,96 € <p/> discount <p/> discounted price <p/> 11,65 € <p/> Click on Open to see if the offer is still active <p/> WITH YOUR PURCHASE I GET: 1 x Pilates ball (55 cm) + push bar Benefits: Great workout to speed up blood circulation Fight cellulite and muscle tension Therapeutic use Great for kids Effectively train your abdominal muscles Helps strengthen your whole body Increases your body's flexibility Reduces cholesterol Allows for a fun variety of workouts Improves balance Builds muscle Allows for many abdominal exercises Diameter: 55cm Colour: red With the Pilates ball you can do yoga, all the leg and back stretching exercises, do exercises like in the gym. It's also great for pregnant women. The Pilates ball is also very effective for increasing strength and flexibility of the body. Pilates is one of the best ways to exercise to increase flexibility and tone all your limbs, you will achieve great posture and strengthen your entire abdominal area. Pilates ball training allows you to perform exercises for a healthy body.",Promotion
"About the client <p/> Nomago is Slovenia's largest tour operator and mobility provider. It is primarily committed to offering every individual or group mobility services that are always at hand, personal and enjoyable, and adapted to the expectations of a modern digital society. With more than 1,000 employees, Nomago is a modern, employee- and user-friendly company that puts digitalised business at the forefront, focusing on the needs and wishes of the user.",Promotion
"The collection contains the game Sword Art Online: Fatal Bullet, 2 central figures from the game (Kirito and Sinon), 1 game folder and 1 art book.",Information/Explanation
"News <p/> Botarin is the first and only manufacturer in the world that has managed to effectively combine the natural Lifting and AntiAging substances Argireline® and Easyliance® in one product. It is conquering the global market with incredible momentum. In neighbouring Austria, 260,000 regular users already trust Botarin...",Promotion
"JUDGMENT: The rule in Article 216 of the CCP allows the court (after the evidentiary proceedings) in the fact-finding proceedings to give a quantitative (numerical) estimate of the quantity given (claimed) (money or substitute items), of which it has only a qualitative idea on the basis of the evidence given. However, the court's discretion in question is not a substitute for the litigant's duty to gather the procedural material and does not relieve the party of the obligation to plead all the facts and to adduce the evidence on which it bases its claims (judgment and order of the Supreme Court, Op. No II Ips 250/2005 of 11.5.2006). <p/> CONCLUSION: The revision is dismissed. <The costs of the audit shall be borne by the auditee. <p/> SUMMARY: (1) The sums claimed in the application relate to the payment of the insurance premium (SIT 62,155,660.00) and to compensation for the damage allegedly suffered by the applicant as a result of the non-payment of the insurance premium (SIT 61,516,094.55 and EUR 1,081,484.50 in tolar equivalent). On 31.5.1996 the parties concluded an insurance contract (the Contract) under Policy No 814552, which was governed by the defendant's 'General Conditions for the Insurance of Animals', the 'Special Conditions for the Insurance of Fish in the Sea' and the addendum to that policy. The latter provided for the escape of fish from the applicant's cages as a result of a wind of the eighth degree of force on the Beaufort scale (gale) as an insured event. On 5 August 1997 the applicant reported the escape of 224 684 perch and sea bass. The Court of First Instance found that a storm had indeed raged between 25 and 27 December 1996, but held that the applicant had not proved that the number of fish allegedly escaped from its farm (from the cages on Platform III) as a result. <p/> (2) The Court of First Instance dismissed all the claims in their entirety. The Court of Second Instance dismissed the applicant's appeal against that judgment and, upholding all its findings of fact and conclusions of law, affirmed it. <p/> (3) The applicant challenges the judgment of the Court of First Instance in its entirety by way of revision. In it, he relies on ""all the grounds of review"" referred to in Article 370(2)(1), (2) and (3) of the Civil Procedure Act (C.P.A.). The Court of First Instance is asked to uphold the review and to alter the judgment of the Court of First Instance by granting the claims in the action or, in the alternative, to set aside the judgments of the Courts of First Instance and Second Instance and to refer the case back to the Court of First Instance for a new trial. <p/> (4) The review was served on the defendant, who did not reply, and on the Supreme State Prosecutor's Office of the Republic of Slovenia. <p/> (5) The applicant was removed from the court register after all procedural steps in the review proceedings had been completed, with the exception of the issuance of the judicial decision. This act, which is a procedural act of the court, is not affected by the stay of the proceedings on the basis of the law itself (Article 205(1)(3) of the CPC), as the second sentence of Article 207(2) of the CPC is applied mutatis mutandis (thus the Supreme Court's judgment of 19.12.2006 in Case No III Ips 42/2006 as an expression of settled case-law). <p/> The revision is not justified. <p/> (6) The revision criticises the judgment of the court of second instance for a fundamental infringement of the provisions of the procedure referred to in Article 339(2)(14) of the Civil Procedure Code. It considers the infringement to be, in general terms, that the (contested) judgment of the court of second instance ""stated, contrary to the documentary evidence, some findings which contradict itself and which contradict the content of the documents or records of the depositions in the proceedings"". This is reflected, first, in the Court of First Instance's finding that, although the applicant, when reporting the damage on 30.12.1996, stated that 'a certain number of fish had also escaped', this nevertheless did not constitute a notification under policy No 8, but rather a notification of damage to the platform for a quarry on the platform. However, in order to satisfy the alleged ground of review, the judgment under appeal would have to be so defective as to preclude its review. That is not the case. The judgment under appeal is, in that respect (the last paragraph of the second page and the first paragraph of the third page of the grounds of appeal), capable of being reviewed: it is in agreement with the Court of First Instance, which itself gave full reasons (the last paragraph of the third page of the grounds of appeal).  <p/> (7) It is also possible to review the judgment under appeal (while the plea in law relied on is not raised) in so far as the auditor criticises it for contradicting the view that the plaintiff was late in declaring the escape of the fish in the light of the Contract and the provision of section 917(1) of the Law on Contractual Relations (LCCR) in force at the time, and the view that it did not forfeit its right to the benefit of the Contract as a result.  147 of the case-file) can be read without difficulty as meaning that the circumstances of the applicant's notification of the insured event - which was unusually (and unlawfully! ) late in the light of the care which the applicant, as a professional fish-farmer, should have been expected to exercise, and in the light of the applicant's established capacity to detect a significant decline in the number of fish (a 53 % escape of the insured population) - were taken into account by the court only in the context of its assessment of the evidence. The applicant did not (contrary to Article 918 of the Civil Code) lose its right to the sum insured by reason of the delay in informing the defendant, but its claims were dismissed on the ground that it had failed to prove the occurrence of the harmful event. <p/> (8) Finally, the judgment under appeal is reviewable even if the alleged illogicality between the assessment of the credibility of the farm workers who testified that the nets were blown down by the storm and the fish swam outside them and the evidentiary assessment that the plaintiff failed to prove the occurrence of the insured event were true. The assessment of the credibility of the workers in question is only part of the assessment of the evidence, which, however, was also assessed by the Court of Appeal on this point, with clear reasons (see the second paragraph of the third page of the reasoning). The substance of that evidential assessment itself, which is disputed by the auditor, on the ground that Platform I was completely destroyed in the storm, making it untenable to conclude that the fish did not escape from the nearby Platform III, is, as a question of fact, outside the scope of the review (Article 370(3) C.C.P.P.) <p/> (9) The substantive legal position of the Courts of Second Instance and First Instance, that the burden of proof of the occurrence of the insured event was on the claimant, is correct. It is not the case, as the Reviser submits, that the courts of second and first instance insisted that the claimant prove the escape of exactly 224 684 fish (see the third paragraph on page three of the judgment of the court of second instance). Their exact number could, in cases such as the present one, be determined (for the purposes of the litigation) by means of Article 216 of the CCP, but under conditions which are not met in the present case. <p/> (10) The rule in Article 216 of the CCP allows the court (after the evidentiary proceedings) in the fact-finding proceedings to give a quantitative (numerical) estimate of the quantity given (claimed in the action) (money or substitute goods) of which it has only a qualitative idea on the basis of the evidence adduced. That Article expressly provides that the court may do so if the amount of the sum claimed or of the replacement goods is either not ascertainable without disproportionate difficulty or not ascertainable at all. Neither of these (necessary, not sufficient) conditions is present in the present case. The court's discretion in question is not a substitute for the litigant's duty to gather procedural material and does not relieve a party of the duty to plead all the facts and propose evidence on which it bases its claims (Supreme Court judgment and order, Op. No II Ips 250/2005 of 11 May 2006). Since the procedural material gathered in the present case does not substantiate the assessment that any fish escaped as a result of the storm at all, the discretion of Article 216 of the Civil Procedure Code is inapplicable. The courts of first and second instance were therefore correct in finding against the applicant on the basis of the burden of proof. <p/> (11) In so doing, the Supreme Court has responded to the revisionist submissions, which are of decisive importance. Since the grounds relied on did not prove to be well-founded and since it did not otherwise find that the substantive law had been erroneously applied, it dismissed the revision as unfounded on the basis of Article 378 of the CPC. <p/> (12) The decision on the costs of the review is based on Article 165(1) of the CPC in conjunction with Article 154(1) of the CPC. The applicant is to bear its own costs.",Legal/Regulation
